25.03.2016 01:39:25 : Копируем c:\uarm3\stg\acp\acp00000050.dat в E:\CB_IN\a2506960_050.epd
25.03.2016 01:39:25 : Копируем c:\uarm3\stg\acp\acp00000051.dat в E:\CB_IN\a2506960_051.esd
25.03.2016 01:39:25 : Копируем c:\uarm3\stg\acp\acp00000052.dat в E:\CB_IN\a2506960_052.esd
25.03.2016 01:39:25 : Копируем c:\uarm3\stg\acp\acp00000053.dat в E:\CB_IN\a2506960_053.epd
25.03.2016 01:39:25 : Копируем c:\uarm3\stg\acp\acp00000054.dat в E:\CB_IN\a2506960_054.esd
25.03.2016 01:39:26 : Копируем c:\uarm3\stg\acp\acp00000055.dat в E:\CB_IN\a2506960_055.esd
25.03.2016 01:39:26 : Всего скопировано: 16 файлов.
25.03.2016 01:57:07 : Копируем c:\uarm3\stg\acp\acp00000056.dat в E:\CB_IN\a2506960_056.esd
25.03.2016 01:57:07 : Копируем c:\uarm3\stg\acp\acp00000057.dat в E:\CB_IN\a2506960_057.esd
25.03.2016 01:57:07 : Всего скопировано: 2 файлов.
25.03.2016 02:37:20 : Копируем c:\uarm3\stg\acp\acp00000058.dat в E:\CB_IN\a2506960_058.esd
25.03.2016 02:37:20 : Копируем c:\uarm3\stg\acp\acp00000059.dat в E:\CB_IN\a2506960_059.epd
25.03.2016 02:37:20 : Копируем c:\uarm3\stg\acp\acp00000060.dat в E:\CB_IN\a2506960_060.epd
25.03.2016 02:37:20 : Копируем c:\uarm3\stg\acp\acp00000061.dat в E:\CB_IN\a2506960_061.esd
25.03.2016 02:37:20 : Всего скопировано: 4 файлов.
25.03.2016 02:39:40 : Всего скопировано: 0 файлов.
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000062.dat в E:\CB_IN\a2506960_062.esd
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000063.dat в E:\CB_IN\a2506960_063.epd
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000064.dat в E:\CB_IN\a2506960_064.esd
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000065.dat в E:\CB_IN\a2506960_065.epd
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000066.dat в E:\CB_IN\a2506960_066.esd
25.03.2016 02:57:36 : Копируем c:\uarm3\stg\acp\acp00000067.dat в E:\CB_IN\a2506960_067.esd
25.03.2016 02:57:37 : Всего скопировано: 6 файлов.
25.03.2016 03:18:01 : Копируем c:\uarm3\stg\acp\acp00000068.dat в E:\CB_IN\a2506960_068.epd
25.03.2016 03:18:01 : Копируем c:\uarm3\stg\acp\acp00000069.dat в E:\CB_IN\a2506960_069.esd
25.03.2016 03:18:01 : Копируем c:\uarm3\stg\acp\acp00000070.dat в E:\CB_IN\a2506960_070.esd
25.03.2016 03:18:01 : Копируем c:\uarm3\stg\acp\acp00000071.dat в E:\CB_IN\a2506960_071.esd
25.03.2016 03:18:01 : Всего скопировано: 4 файлов.
25.03.2016 03:27:14 : Копируем c:\uarm3\stg\acp\acp00000072.dat в E:\CB_IN\a2506960_072.esd
25.03.2016 03:27:14 : Копируем c:\uarm3\stg\acp\acp00000073.dat в E:\CB_IN\a2506960_073.epd
25.03.2016 03:27:14 : Копируем c:\uarm3\stg\acp\acp00000074.dat в E:\CB_IN\a2506960_074.esd
25.03.2016 03:27:14 : Копируем c:\uarm3\stg\acp\acp00000075.dat в E:\CB_IN\a2506960_075.esd
25.03.2016 03:27:14 : Всего скопировано: 4 файлов.
25.03.2016 03:40:38 : Копируем c:\uarm3\stg\acp\acp00000076.dat в E:\CB_IN\a2506960_076.epd
25.03.2016 03:40:38 : Копируем c:\uarm3\stg\acp\acp00000077.dat в E:\CB_IN\a2506960_077.esd
25.03.2016 03:40:38 : Всего скопировано: 2 файлов.
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000078.dat в E:\CB_IN\a2506960_078.esd
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000079.dat в E:\CB_IN\a2506960_079.epd
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000080.dat в E:\CB_IN\a2506960_080.esd
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000081.dat в E:\CB_IN\a2506960_081.esd
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000082.dat в E:\CB_IN\a2506960_082.epd
25.03.2016 04:08:20 : Копируем c:\uarm3\stg\acp\acp00000083.dat в E:\CB_IN\a2506960_083.esd
25.03.2016 04:08:20 : Всего скопировано: 6 файлов.
25.03.2016 04:37:19 : Копируем c:\uarm3\stg\acp\acp00000084.dat в E:\CB_IN\a2506960_084.esd
25.03.2016 04:37:19 : Копируем c:\uarm3\stg\acp\acp00000085.dat в E:\CB_IN\a2506960_085.epd
25.03.2016 04:37:19 : Копируем c:\uarm3\stg\acp\acp00000086.dat в E:\CB_IN\a2506960_086.esd
25.03.2016 04:37:19 : Копируем c:\uarm3\stg\acp\acp00000087.dat в E:\CB_IN\a2506960_087.esd
25.03.2016 04:37:20 : Копируем c:\uarm3\stg\acp\acp00000088.dat в E:\CB_IN\a2506960_088.esd
25.03.2016 04:37:20 : Всего скопировано: 5 файлов.
25.03.2016 04:50:49 : Копируем c:\uarm3\stg\acp\acp00000089.dat в E:\CB_IN\a2506960_089.esd
25.03.2016 04:50:49 : Копируем c:\uarm3\stg\acp\acp00000090.dat в E:\CB_IN\a2506960_090.epd
25.03.2016 04:50:49 : Копируем c:\uarm3\stg\acp\acp00000091.dat в E:\CB_IN\a2506960_091.esd
25.03.2016 04:50:49 : Копируем c:\uarm3\stg\acp\acp00000092.dat в E:\CB_IN\a2506960_092.esd
25.03.2016 04:50:49 : Всего скопировано: 4 файлов.
25.03.2016 05:16:51 : Копируем c:\uarm3\stg\acp\acp00000093.dat в E:\CB_IN\a2506960_093.epd
25.03.2016 05:16:51 : Копируем c:\uarm3\stg\acp\acp00000094.dat в E:\CB_IN\a2506960_094.esd
25.03.2016 05:16:51 : Копируем c:\uarm3\stg\acp\acp00000095.dat в E:\CB_IN\a2506960_095.esd
25.03.2016 05:16:51 : Копируем c:\uarm3\stg\acp\acp00000096.dat в E:\CB_IN\a2506960_096.esd
25.03.2016 05:16:51 : Всего скопировано: 4 файлов.
25.03.2016 05:24:51 : Копируем c:\uarm3\stg\acp\acp00000097.dat в E:\CB_IN\a2506960_097.epd
25.03.2016 05:24:51 : Копируем c:\uarm3\stg\acp\acp00000098.dat в E:\CB_IN\a2506960_098.esd
25.03.2016 05:24:51 : Всего скопировано: 2 файлов.
